episode,reward,accuracy,steps,buffer_size,epsilon,loss
0,-6.5,0.125,8,8,0.899999320000272,
1,-623.5,0.17193675889328064,506,514,0.8999563111228138,0.1741479010261356
2,-677.0,0.1678832116788321,548,1062,0.8999097347931674,0.0878023503681332
3,-568.0,0.15401785714285715,448,1510,0.8998716596899373,0.08772502972819243
4,-521.0,0.17824074074074073,432,1942,0.8998349460272596,0.061556482014970645
5,-1131.0,0.1797631862217438,929,2871,0.899756000027872,0.07547299353961218
6,-340.5,0.19865319865319866,297,3168,0.8997307626494481,0.1311865613579449
7,-722.0,0.16580310880829016,579,3747,0.8996815646625862,0.06891464153449461
8,-229.5,0.1794871794871795,195,3942,0.8996649960336199,0.04660071356174273
9,-785.5,0.17573872472783825,643,4585,0.8996103643308031,0.04378553109843151
10,-978.5,0.18137254901960784,816,5401,0.8995410389535875,0.04103940621579943
11,-38.0,0.17647058823529413,34,5435,0.8995381505189654,0.6100541984333712
12,-480.5,0.22247191011235956,445,5880,0.8995003469124038,0.278558449685741
13,-926.5,0.16711229946524064,748,6628,0.8994368066628897,0.09130225026479519
14,-706.0,0.19365609348914858,599,7227,0.899385926922034,0.0599048145088944
15,-517.0,0.18013856812933027,433,7660,0.8993491493076394,0.05402116228097202
16,-260.0,0.19555555555555557,225,7885,0.8993300391667699,0.043333008349355724
17,1.5,0.5,16,7901,0.8993286802397943,0.0538286657538265
18,-226.5,0.2079207920792079,202,8103,0.8993115239737324,0.04972385089743034
19,-1097.0,0.1933404940923738,931,9034,0.8992324567514868,0.057727459679576786
20,-695.0,0.22919937205651492,637,9671,0.8991783623669162,0.061638393587750064
21,-253.5,0.21304347826086956,230,9901,0.8991588314891876,0.4197031910004823
22,-696.5,0.1791304347826087,575,10476,0.8991100062601158,0.15393386313448781
23,-53.0,0.0975609756097561,41,10517,0.8991065249162269,0.08994233158485192
24,-26.5,0.09090909090909091,22,10539,0.8991046568839268,0.049427861093797466
25,-143.0,0.22058823529411764,136,10675,0.8990931091391181,0.05971058269770926
26,-285.5,0.1910569105691057,246,10921,0.8990722217055498,0.06796595763899689
27,-815.5,0.187683284457478,682,11603,0.8990143169546039,0.06825751854964365
28,-838.0,0.18077474892395984,697,12300,0.8989551427189583,0.053590343300376084
29,-871.0,0.18269230769230768,728,13028,0.898893341034177,0.06773512821854348
30,-0.5,0.0,1,13029,0.898893256144847,0.02253827080130577
31,-1.0,0.0,2,13031,0.8988930863662128,1.4371102452278137
32,-750.0,0.16472545757071547,601,13632,0.8988420694247966,0.2872712863268278
33,-597.0,0.19845857418111754,519,14151,0.8987980156645984,0.10591642516090935
34,-477.5,0.20047732696897375,419,14570,0.8987624517728109,0.07669092400826354
35,-459.0,0.20149253731343283,402,14972,0.8987283322080575,0.05993534551483964
36,-520.5,0.19690265486725664,452,15424,0.8986899705544215,0.06926567247343472
37,-306.0,0.15789473684210525,247,15671,0.8986690081710353,0.06475928579815306
38,-719.0,0.20224719101123595,623,16294,0.8986161377387574,0.0818256377264929
39,-107.5,0.16304347826086957,92,16386,0.8986083305062035,0.072505170924832
40,-135.5,0.21705426356589147,129,16515,0.898597383529348,0.0742202959882543
41,-307.5,0.21014492753623187,276,16791,0.8985739625647735,0.41980430791559425
42,-522.0,0.20518358531317496,463,17254,0.8985346744998325,0.14540966587306098
43,-202.0,0.2192513368983957,187,17441,0.8985188070497805,0.10880063540416765
44,-864.5,0.18732782369146006,726,18167,0.898457206820504,0.09389469665975488
45,-808.5,0.1950509461426492,687,18854,0.898398919812577,0.06884555045781003
46,-910.5,0.18469656992084432,758,19612,0.8983346136116911,0.08807203499538858
47,-378.0,0.19877675840978593,327,19939,0.8983068735233789,0.05424362295292979
48,-448.0,0.17941952506596306,379,20318,0.8982747233021229,0.09291253361044978
49,-218.0,0.18848167539267016,191,20509,0.8982585214096365,0.0815866971924823
50,-301.0,0.18359375,256,20765,0.8982368062694432,0.09298380112704763
51,-497.5,0.17475728155339806,412,21177,0.8982018596329306,0.3688387245355735
52,-942.0,0.19506172839506172,810,21987,0.8981331580647515,0.1205086549686521
53,-506.5,0.17814726840855108,421,22408,0.8980974524104063,0.10184914942481278
54,-570.0,0.135632183908046,435,22843,0.898060560973621,0.1093861312123722
55,-703.0,0.18072289156626506,581,23424,0.8980112900863615,0.10415692898010429
56,-966.0,0.18719211822660098,812,24236,0.8979424343651866,0.10729877735038512
57,-354.5,0.1901639344262295,305,24541,0.8979165725153336,0.08336256116201154
